packet_index,byte_offset,packet_id,packet_type,frame_length,time_seconds,status,uptime,filtered_accel_x,filtered_accel_y,filtered_accel_z,gyro_x,gyro_y,gyro_z,fc_status,fc_uptime,current_sense_ch1,current_sense_ch2,current_sense_ch3,iris_battery_voltage,command_value,mcu_temperature,orientation_x,orientation_y,orientation_z,orientation_w,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,latitude,longitude,gps_altitude,barometric_altitude,witness_battery_voltage,raw_packet_hex
68,73404,0x02,state,64,1928956.672,14075,1928956672,,,,,,,,,,,,,,,0.0,-0.0,-2.3236487753918054e+18,-9.223794249319842e+18,-0.0,4.6597e-05,-9.903542745523836e+27,-1.7466958858484812e+34,9.903526217241146e+27,-1.661558565109493e+35,-530.7817,-30.4903,-0.0,-8178.0,13.824,02 36 fb 72 f9 8b 00 21 ff c5 ff 8a 00 5d ff de 00 fd 09 df 00 01 80 9d 00 00 0e 38 43 71 37 ee 00 00 13 f8 57 4c 01 6e 00 00 05 fa 00 00 77 af 02 57 fb 58 f9 92 00 1e ff c5 ff 90 00 36 00 0a
69,73604,0xFF,heartbeat,8,2332027.904,51711,2332027904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ff c9 ff 8a ff ec 00 0a
70,74193,0x01,sensors,23,3.608,32874,3608,176.84032,-241.17248,52.14556,1361.99,1971.2,0.42,,,,,,,,,,,,,,,,,,,,,,,,01 80 6a 00 00 0e 18 43 75 90 a4 00 00 13 e4 57 4c 01 6e 00 00 06 0a
71,76436,0xFF,heartbeat,8,2516576.0,48127,2516576000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ff bb ff 95 ff e7 00 0a
72,79078,0xFF,heartbeat,8,3724529.408,37631,3724529408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ff 92 ff dd ff cf 00 0a
73,80084,0xFF,heartbeat,8,2248128.512,50175,2248128512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ff c3 ff 85 ff b8 00 0a
74,85412,0xFF,heartbeat,8,2600462.848,44543,2600462848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ff ad ff 9a ff ea 00 0a
75,85464,0xFF,heartbeat,8,4244648.968,59647,4244648968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ff e8 ff fd 00 34 08 0a
76,86481,0x01,sensors,23,3.453,32868,3453,176.84556,128.45056,52.06364,1361.99,1845.76,0.49,,,,,,,,,,,,,,,,,,,,,,,,01 80 64 00 00 0d 7d 43 76 13 31 00 00 13 dc 57 4c 01 67 00 00 07 0a
77,88820,0xFF,heartbeat,8,2717902.848,45311,2717902848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ff b0 ff a1 ff e8 00 0a
78,93142,0xFF,heartbeat,8,3758115.84,45823,3758115840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ff b2 ff e0 00 4c 00 0a
